flicker_test_b_r START,1710095655560
Baseline Calculation started,1710095663004
Baseline calculation completed - Task 1 started,1710095664977
w,1710095665008
w,1710095676484
w,1710095687599
s,1710095698697
s,1710095709649
s,1710095720629
s,1710095735291
red,1710095736780
blu,1710095740314
blu,1710095740938
blu,1710095741657
blu,1710095742358
blu,1710095743089
blu,1710095743846
blu,1710095744604
blu,1710095745297
blu,1710095745959
w,1710095746227
red,1710095746816
red,1710095747503
red,1710095748388
red,1710095749286
red,1710095750278
red,1710095751250
red,1710095752243
red,1710095753218
red,1710095754312
red,1710095755360
red,1710095756276
red,1710095757214
s,1710095757587
blu,1710095758091
blu,1710095759136
blu,1710095760138
blu,1710095760999
blu,1710095761934
blu,1710095762909
blu,1710095763841
blu,1710095764891
blu,1710095765801
blu,1710095766780
blu,1710095767818
s,1710095768527
blu,1710095768860
blu,1710095769948
blu,1710095771076
blu,1710095772271
blu,1710095773466
blu,1710095774608
blu,1710095775777
blu,1710095776939
blu,1710095778010
blu,1710095779176
w,1710095779495
red,1710095780351
red,1710095781507
red,1710095782602
red,1710095783812
red,1710095784965
red,1710095785479
red,1710095785514
red,1710095786244
red,1710095787409
red,1710095788630
red,1710095789721
red,1710095790818
w,1710095790857
red,1710095791948
red,1710095793026
red,1710095794263
red,1710095795456
red,1710095796560
red,1710095797719
red,1710095798862
red,1710095800007
red,1710095801108
Experiment Completed,1710095803972
